,k,x,reward,patch_label,regret,m,q,simul_id
310,2.0,[  3.          73.96480905 -65.52116522],0.0,Speaker,1.0,[ 0.00336654  0.06266151 -0.05164271],[ 1.0270674  10.53737143  7.4820544 ],9
315,2.0,[  3.         259.7915166  -15.24581644],0.0,Speaker,1.0,[ 0.00336904  0.06266124 -0.05164093],[ 1.02866238 11.50632801  8.24232333],9
320,2.0,[  3.         303.3611067   -8.97300862],0.0,Speaker,1.0,[ 0.00336964  0.06266137 -0.05163937],[ 1.02866438 11.50843126  8.24281436],9
350,4.0,[   2.           45.32374741 -107.12763896],1.0,non_Speaker,0.0,[ 0.00020828  0.02295788 -0.01724664],[ 1.00323257 59.81436761 15.74347078],9
357,3.0,[  2.         266.5259038  -13.96382719],1.0,non_Speaker,0.0,[ 0.00198629  0.05188423 -0.05683305],[ 1.02082608 13.25442289 19.97125865],9
365,3.0,[  2.          52.40859384 -78.27565552],1.0,non_Speaker,0.0,[ 0.00200089  0.05187415 -0.05684427],[ 1.02082243 13.27006047 19.96685951],9
376,2.0,[  3.         283.06797557  -5.74035436],0.0,Speaker,1.0,[ 0.0033688   0.06266132 -0.05164071],[ 1.02866277 11.50797922  8.24237796],9
12,0.0,[0. 0. 0.],0.0,CB,1.0,[-2.22044605e-16  0.00000000e+00  1.11022302e-16],[1.00000000e+00 1.99851786e+03 9.01588651e+02],9
17,0.0,[  0.         154.95086476 144.89448141],0.0,CB,1.0,[ 0.00000000e+00  0.00000000e+00 -5.55111512e-17],[1.00000000e+00 1.99851786e+03 9.01588651e+02],9
22,2.0,[  3.         278.18528775 -13.36742159],0.0,Speaker,1.0,[ 0.00336937  0.06266117 -0.0516408 ],[ 1.0286629  11.50863898  8.242395  ],9
35,2.0,[  3.         274.75022075 -16.3438536 ],1.0,Speaker,0.0,[ 0.00336888  0.06266252 -0.05164019],[ 1.02866166 11.50869681  8.2420514 ],9
42,2.0,[  3.          72.04585929 -74.17441624],0.0,Speaker,1.0,[ 0.0033691   0.06266148 -0.05164086],[ 1.02866249 11.50957137  8.24225206],9
46,2.0,[   3.          239.31038944 -163.41327527],0.0,Speaker,1.0,[ 0.00336902  0.06266187 -0.05164104],[ 1.02981097 12.1721046   8.94463279],9
54,3.0,[  2.         319.95046608  -6.87810196],1.0,non_Speaker,0.0,[ 0.00196724  0.05179624 -0.05934422],[ 1.01940515 12.60503521 19.47266508],9
78,2.0,[   3.          498.91150235 -172.24591144],0.0,Speaker,1.0,[ 0.003384    0.06267588 -0.05161754],[ 1.02981925 12.17544814  8.94720506],9
94,2.0,[   3.          517.24123636 -172.96884736],0.0,Speaker,1.0,[ 0.00336921  0.06266149 -0.05164059],[ 1.02981223 12.17260234  8.94499202],9
101,1.0,[  1.         244.44896458 118.78274256],0.0,STS,1.0,[ 8.32667268e-17 -2.22044605e-16 -6.66133815e-16],[1.07864477e+00 2.65824724e+04 8.00108290e+02],9
108,2.0,[   3.          239.083941   -165.38838976],1.0,Speaker,0.0,[ 0.00336901  0.06266158 -0.05164079],[ 1.02981182 12.17243969  8.94487402],9
112,2.0,[  3.          36.57243941 -69.76460009],1.0,Speaker,0.0,[ 0.00336886  0.06266228 -0.05164123],[ 1.02981001 12.17173077  8.94436263],9
121,2.0,[  3.          38.14105577 -64.11749974],1.0,Speaker,0.0,[ 0.00352763  0.05943099 -0.06129883],[ 1.03025019 10.49529389 10.9897179 ],9
128,2.0,[  3.          34.16256729 -66.44642042],1.0,Speaker,0.0,[ 0.0036723   0.05860649 -0.06664472],[ 1.0310186   9.70953465 11.90920268],9
137,3.0,[   2.          304.52529666 -178.05878641],0.0,non_Speaker,1.0,[ 0.00199543  0.05179769 -0.05934258],[ 1.01940477 12.60692527 19.47226275],9
141,3.0,[   2.          344.73412384 -177.28760635],0.0,non_Speaker,1.0,[ 0.00197152  0.05179899 -0.05934211],[ 1.01940505 12.60695965 19.47254047],9
145,3.0,[   2.          344.73683452 -177.28732334],0.0,non_Speaker,1.0,[ 1.74771534  1.74386542 -2.23870032],[1. 1. 1.],9
149,3.0,[   2.          365.52572038 -178.22602105],0.0,non_Speaker,1.0,[ 0.00197174  0.05179837 -0.05934255],[ 1.01940509 12.60704959 19.47256526],9
152,2.0,[   3.           32.37056085 -110.52842278],1.0,Speaker,0.0,[ 0.00378901  0.05751379 -0.07105459],[ 1.03173465  9.1047495  12.78960184],9
159,2.0,[   3.           33.12490009 -113.76985359],0.0,Speaker,1.0,[ 0.00365522  0.0562091  -0.07177171],[ 1.03266947  9.39030329 13.34099195],9
170,4.0,[   2.          562.22333776 -176.80700559],0.0,non_Speaker,1.0,[ 0.00089059  0.02055034 -0.04820918],[ 1.00700422 61.49622932 15.00953152],9
