,k,x,reward,patch_label,regret,m,q,simul_id
381,5.0,[  2.        641.5662974 178.5098366],0.0,non_Speaker,1.0,[ 1.00097949 -0.54185759 -0.75562929],[1.00893078 1.87063597 1.78656811],26
10,0.0,[0. 0. 0.],0.0,CB,1.0,[-3.46944695e-18 -1.11022302e-16  8.32667268e-17],[1.00000000e+00 1.67205298e+04 5.55595856e+03],26
37,4.0,[   2.          581.69519077 -173.85042985],0.0,non_Speaker,1.0,[-0.76214075  2.79691872 -0.1226872 ],[1. 1. 1.],26
51,3.0,[  2.         572.07025303  -4.04124866],0.0,non_Speaker,1.0,[ 0.04966946  2.78472334 -1.70491112],[1. 1. 1.],26
55,2.0,[   3.          235.7697924  -162.90270937],0.0,Speaker,1.0,[-0.88914805  3.0594949  -1.54942884],[1. 1. 1.],26
65,2.0,[   3.          503.02066948 -171.38896361],0.0,Speaker,1.0,[ 1.18441121  3.37829822 -1.29087321],[1. 1. 1.],26
75,5.0,[   2.          264.98152025 -176.0369533 ],0.0,non_Speaker,1.0,[ 0.00988863  0.09755668 -0.09276673],[1.04829931 5.75862245 5.30843313],26
77,3.0,[  2.          54.15324587 -56.80566972],1.0,non_Speaker,0.0,[ 0.00524117  0.08859546 -0.09163224],[ 1.02988412 10.5932726  12.61222807],26
86,4.0,[   2.          828.75736405 -176.65795946],0.0,non_Speaker,1.0,[ 0.31254029  3.39650521 -1.54277552],[1. 1. 1.],26
91,3.0,[   2.          828.1309298  -176.23950721],0.0,non_Speaker,1.0,[ 0.00427092  0.07580156 -0.08903687],[ 1.02647482 11.42381665 15.75898353],26
96,2.0,[   3.          524.06378167 -177.01230573],0.0,Speaker,1.0,[ 0.06908462  2.39141449 -1.82296407],[1. 1. 1.],26
101,2.0,[   3.          257.31655691 -168.72412058],0.0,Speaker,1.0,[ 0.00466912  0.07036206 -0.08401725],[ 1.04683148 13.34015209 16.06416402],26
131,5.0,[  2.          44.43348772 -10.78552278],0.0,non_Speaker,1.0,[ 0.00989458  0.09755637 -0.09276632],[1.04829939 5.75863189 5.30844196],26
137,2.0,[  3.          52.35157174 -42.41753138],1.0,Speaker,0.0,[ 1.0803828   3.37977943 -0.83452224],[1. 1. 1.],26
159,2.0,[  3.          35.15704704 -77.43460076],0.0,Speaker,1.0,[ 0.00473254  0.07219707 -0.08357286],[ 1.04661899 13.36743793 15.57217558],26
162,5.0,[  2.         308.78908133  -1.72865513],0.0,non_Speaker,1.0,[ 0.00987886  0.0975643  -0.09277247],[ 1.05829963 10.69854752  5.5986132 ],26
169,4.0,[   2.          562.22333776 -176.80700559],0.0,non_Speaker,1.0,[ 0.00120571  0.03548467 -0.05836572],[ 1.01376021 37.62784988 28.5381748 ],26
179,4.0,[   2.          360.92274275 -176.77324607],1.0,non_Speaker,0.0,[ 0.00120556  0.03548464 -0.05836569],[ 1.01376028 37.62800092 28.53831847],26
185,5.0,[   2.           61.50991946 -121.73155077],1.0,non_Speaker,0.0,[ 0.00988769  0.0975587  -0.09276626],[ 1.05831138 10.70089166  5.59952308],26
188,3.0,[  2.         294.70027757 -15.00825493],0.0,non_Speaker,1.0,[ 0.00427451  0.07581307 -0.08903406],[ 1.02646648 11.41683334 15.75614348],26
218,2.0,[  3.         864.05805401  -3.27187203],0.0,Speaker,1.0,[ 0.00472545  0.0722017  -0.08357045],[ 1.04720459 13.44700562 15.96425158],26
225,5.0,[   2.          396.10930502 -174.59469558],0.0,non_Speaker,1.0,[ 0.00988842  0.09755656 -0.09276698],[ 1.05831337 10.69951464  5.59938036],26
245,2.0,[  3.          48.63153131 -68.72228187],0.0,Speaker,1.0,[ 0.17037117  1.59339288 -1.1211279 ],[1. 1. 1.],26
252,2.0,[  3.         274.35177298 -15.28292446],0.0,Speaker,1.0,[-0.11571355  3.07412656 -1.47327497],[1. 1. 1.],26
264,3.0,[  2.         279.43800214 -15.2099602 ],0.0,non_Speaker,1.0,[ 0.62758692  1.7322139  -2.24290841],[1. 1. 1.],26
273,5.0,[  2.         343.10002743 176.20911057],0.0,non_Speaker,1.0,[ 0.00989288  0.09755383 -0.09276949],[ 1.0583141  10.69992148  5.59939759],26
284,4.0,[  2.         262.64478021  -7.06685317],0.0,non_Speaker,1.0,[ 1.85608776  3.0665643  -1.45837941],[1. 1. 1.],26
287,2.0,[  3.         881.57890282  -7.18847294],0.0,Speaker,1.0,[ 0.00473005  0.07219342 -0.08357376],[ 1.04767597 13.57156823 16.20848657],26
304,3.0,[   2.           69.42026611 -100.24884015],0.0,non_Speaker,1.0,[ 0.00427811  0.07548108 -0.08787883],[ 1.02676226 11.37793819 15.60394015],26
311,4.0,[   2.          262.11290658 -166.02212949],1.0,non_Speaker,0.0,[ 0.00120554  0.0354848  -0.05836555],[ 1.01231971 38.67334616 24.41294477],26
332,2.0,[  3.         262.9489558  -15.28414979],0.0,Speaker,1.0,[ 1.55459829  3.4912365  -0.28781948],[1. 1. 1.],26
362,3.0,[  2.         260.17508401 -10.70209393],1.0,non_Speaker,0.0,[ 0.00427755  0.07546492 -0.08786928],[ 1.02679052 11.39156574 15.62379454],26
366,4.0,[   2.          261.48212538 -169.79795327],0.0,non_Speaker,1.0,[-0.31465857 10.94734954 -2.73404877],[1. 1. 1.],26
370,3.0,[  2.          34.47590875 -95.57870321],1.0,non_Speaker,0.0,[-1.63433959  3.75869781  0.63815395],[ 1.0389915   3.11148862 56.93991515],26
374,2.0,[  3.         281.18402816  -5.98455976],0.0,Speaker,1.0,[ 0.00473495  0.07219903 -0.08357203],[ 1.04766682 13.56879806 16.20620902],26
12,0.0,[0. 0. 0.],0.0,CB,1.0,[1.11022302e-16 0.00000000e+00 0.00000000e+00],[1.00000000e+00 1.67205298e+04 5.55595856e+03],26
32,5.0,[  2.         286.8492429  -11.93381721],0.0,non_Speaker,1.0,[ 0.00988797  0.09755753 -0.09276599],[ 1.05831316 10.70165351  5.599977  ],26
37,3.0,[  2.         572.07191895  -4.04110963],0.0,non_Speaker,1.0,[ 0.00312332  0.06320419 -0.08641455],[ 1.02440144 14.25400425 20.5566351 ],26
55,5.0,[  2.         273.49136377  -8.2652136 ],0.0,non_Speaker,1.0,[ 0.0098903   0.09756091 -0.09276513],[ 1.0583094  10.7007047   5.59971728],26
76,2.0,[   3.          499.18445193 -172.01815918],0.0,Speaker,1.0,[ 0.00473938  0.07219559 -0.08356959],[ 1.04767992 13.57232362 16.21048618],26
87,1.0,[  1.         445.04616439 145.39965739],0.0,STS,1.0,[ 3.46944695e-18 -2.22044605e-16  0.00000000e+00],[1.03932239e+00 3.56410014e+04 1.21072134e+03],26
96,2.0,[   3.          515.89460219 -172.39051875],0.0,Speaker,1.0,[ 1.46097238  2.34078509 -1.37801524],[1. 1. 1.],26
101,3.0,[  2.          31.03589448 -77.62816564],1.0,non_Speaker,0.0,[ 0.18492088  2.69216468 -0.67781211],[1. 1. 1.],26
110,4.0,[   2.          549.5517472  -176.21101528],0.0,non_Speaker,1.0,[ 0.00120363  0.03548147 -0.05836355],[ 1.01232515 38.70190527 24.42166856],26
122,3.0,[   2.          304.52260916 -178.05911362],0.0,non_Speaker,1.0,[ 0.00316628  0.06315277 -0.08686618],[ 1.02422424 14.11246636 20.57213177],26
159,2.0,[  3.          55.42672917 -30.72074352],0.0,Speaker,1.0,[ 0.91079444  3.03663784 -1.30628187],[1. 1. 1.],26
165,3.0,[  2.          42.2760391  -59.19786928],1.0,non_Speaker,0.0,[ 0.00312381  0.06312147 -0.0868733 ],[ 1.02424913 14.13274557 20.58564153],26
173,3.0,[  2.          35.31970752 -88.94210878],0.0,non_Speaker,1.0,[ 0.0031261   0.06350668 -0.08743139],[ 1.02397898 13.90354958 20.37992497],26
183,5.0,[ 2.00000000e+00  5.01653190e+02 -2.64570374e-01],0.0,non_Speaker,1.0,[ 0.00988511  0.09754352 -0.09278126],[ 1.05831749 10.70391273  5.60009733],26
211,2.0,[  3.         840.09703706  -3.36512301],0.0,Speaker,1.0,[ 0.99096413  3.16384972 -1.44933465],[1. 1. 1.],26
214,2.0,[  3.         515.01611602  -5.49475412],0.0,Speaker,1.0,[ 0.00473421  0.07220052 -0.08357045],[ 1.05438444 15.86164563 16.91108716],26
222,5.0,[   2.          394.21579867 -174.42232316],0.0,non_Speaker,1.0,[-0.4604121   3.2519835  -0.66257387],[1. 1. 1.],26
226,5.0,[   2.          685.89196565 -177.71775586],0.0,non_Speaker,1.0,[-1.56507492  3.52871134  0.51061962],[1. 1. 1.],26
244,3.0,[   2.          508.46326435 -174.77390494],0.0,non_Speaker,1.0,[ 0.00314286  0.06350365 -0.08743437],[ 1.02407358 13.93353732 20.5678307 ],26
250,4.0,[   2.          289.14241325 -167.55442747],1.0,non_Speaker,0.0,[ 0.00122185  0.0354763  -0.05835051],[ 1.01234273 38.75180179 24.45676635],26
300,2.0,[  3.         546.84435113  -9.93155963],1.0,Speaker,0.0,[ 0.90524533  3.28999802 -0.81028159],[1. 1. 1.],26
314,2.0,[  3.          56.19125024 -27.92471115],0.0,Speaker,1.0,[-0.18570974  2.6817839  -0.59759115],[1. 1. 1.],26
369,2.0,[  3.         268.87924929 -18.72480611],0.0,Speaker,1.0,[ 0.00473592  0.07219675 -0.08357288],[ 1.06240651 18.67615523 17.60610546],26
373,4.0,[   2.          272.82109613 -174.04305201],0.0,non_Speaker,1.0,[ 0.00120567  0.03548494 -0.05836559],[ 1.01215382 35.93401735 24.41131076],26
20,0.0,[0. 0. 0.],0.0,CB,1.0,[ 6.93889390e-18  8.32667268e-17 -6.93889390e-18],[1.00000000e+00 1.07069908e+04 4.48520107e+03],26
31,2.0,[  3.         280.36276228 -13.47175264],1.0,Speaker,0.0,[ 0.00473632  0.07219359 -0.08357186],[ 1.06241907 18.67985283 17.60935874],26
36,4.0,[   2.          291.58290397 -171.4572831 ],0.0,non_Speaker,1.0,[ 0.00117179  0.03548471 -0.05836638],[ 1.01131948 35.50890786 22.01678186],26
41,5.0,[  2.         274.20043973  -7.82156514],1.0,non_Speaker,0.0,[ 0.00988802  0.09755557 -0.0927674 ],[ 1.05831436 10.7020543   5.60004474],26
48,3.0,[  2.         319.08094998  -7.07761556],0.0,non_Speaker,1.0,[ 0.44855638  3.17978496 -0.08405327],[1. 1. 1.],26
57,4.0,[   2.          540.92789122 -175.61973541],0.0,non_Speaker,1.0,[ 0.00120555  0.03548487 -0.0583656 ],[ 1.01131927 35.5061173  22.01682882],26
66,2.0,[   3.          523.79338548 -171.7329024 ],0.0,Speaker,1.0,[ 0.0047301   0.07219741 -0.08357254],[ 1.06240653 18.67612976 17.60623771],26
74,3.0,[  2.          34.72150404 -28.02693723],1.0,non_Speaker,0.0,[ 0.00305919  0.06496999 -0.08429112],[ 1.02431048 14.46687435 20.74158079],26
86,2.0,[   3.          517.28804892 -172.0756271 ],0.0,Speaker,1.0,[ 0.00472472  0.07217849 -0.08358177],[ 1.06238531 18.65620506 17.57839285],26
96,2.0,[   3.          515.89460219 -172.39051875],0.0,Speaker,1.0,[ 0.00472655  0.07218286 -0.08358116],[ 1.06237328 18.65248086 17.57571696],26
100,3.0,[  2.          30.31787196 -90.66017646],1.0,non_Speaker,0.0,[ 0.00422511  0.07675546 -0.0856798 ],[ 1.02682316 11.66331352 15.62635944],26
117,2.0,[   3.          236.18176123 -165.20412973],1.0,Speaker,0.0,[ 0.60896396  1.69258894 -0.94518156],[1. 1. 1.],26
123,2.0,[  3.          38.14105577 -64.11749974],1.0,Speaker,0.0,[-0.81538604  2.69196795 -1.60093334],[1. 1. 1.],26
129,3.0,[   2.          303.49085044 -178.24140078],0.0,non_Speaker,1.0,[-1.32990923  3.53419903 -0.85141608],[1. 1. 1.],26
133,4.0,[ 2.00000000e+00  5.58658386e+02 -3.39984673e-01],0.0,non_Speaker,1.0,[ 0.00120557  0.03548463 -0.05836589],[ 1.01131924 35.50758866 22.0164913 ],26
139,3.0,[   2.          304.52260916 -178.05911362],0.0,non_Speaker,1.0,[ 0.0042466   0.07645311 -0.08573606],[ 1.0268867 11.6139836 15.6928431],26
150,5.0,[2.00000000e+00 5.28669310e+02 5.07757062e-01],0.0,non_Speaker,1.0,[ 0.00989021  0.09755767 -0.09276823],[ 1.05831074 10.70127679  5.59977458],26
159,5.0,[  2.         506.76120987   1.20816688],0.0,non_Speaker,1.0,[ 0.00988812  0.09755653 -0.09276672],[ 1.05831374 10.70185264  5.60000895],26
171,0.0,[  0.         161.23940832 132.90261652],0.0,CB,1.0,[-1.11022302e-16 -5.55111512e-17 -1.11022302e-16],[1.00000000e+00 1.07069908e+04 4.48520107e+03],26
184,3.0,[  2.         194.30468908  -7.48605879],0.0,non_Speaker,1.0,[ 0.00422548  0.07644244 -0.0857357 ],[ 1.02661029 11.55452697 15.26871386],26
189,2.0,[  3.         828.63090429  -2.78869802],0.0,Speaker,1.0,[ 0.00461383  0.06959029 -0.08328639],[ 1.06535961 19.58457116 18.32452271],26
197,2.0,[  3.         850.80279829  -2.98576171],0.0,Speaker,1.0,[ 0.0046172   0.06962785 -0.08322417],[ 1.06537228 19.58914224 18.28845758],26
211,2.0,[  3.         844.1575753   -1.98994476],0.0,Speaker,1.0,[ 0.00461512  0.06962861 -0.0832233 ],[ 1.06537281 19.58917262 18.28884696],26
221,3.0,[   2.           55.93253726 -103.8069993 ],0.0,non_Speaker,1.0,[ 0.00424209  0.07645593 -0.08573257],[ 1.02655024 11.53636863 15.15907128],26
227,3.0,[   2.          306.7183115  -171.50392806],0.0,non_Speaker,1.0,[ 0.00424146  0.07645989 -0.08573328],[ 1.02654968 11.53738996 15.16768671],26
243,3.0,[   2.          507.46648068 -174.76333693],0.0,non_Speaker,1.0,[ 0.00429217  0.07643204 -0.08576534],[ 1.02653896 11.53649795 15.15218673],26
250,3.0,[  2.          64.89381872 -82.34210266],0.0,non_Speaker,1.0,[ 0.00424022  0.07645663 -0.08573211],[ 1.02655425 11.53945702 15.17020014],26
258,5.0,[   2.          359.34732102 -172.5951533 ],0.0,non_Speaker,1.0,[-0.54045912  3.52243281 -0.03884244],[1. 1. 1.],26
268,3.0,[  2.          14.55923942 -79.52148771],1.0,non_Speaker,0.0,[-0.24062926  2.989842   -1.87076836],[1. 1. 1.],26
272,2.0,[  3.         597.52407232  -3.10017071],0.0,Speaker,1.0,[-0.32077622  2.17357708 -0.16788731],[1. 1. 1.],26
281,4.0,[  2.         266.13781376  -7.8425773 ],0.0,non_Speaker,1.0,[ 0.24250822  2.96796463 -1.96605698],[1. 1. 1.],26
291,2.0,[  3.         881.57890282  -7.18847294],0.0,Speaker,1.0,[ 0.00462294  0.06956732 -0.08320716],[ 1.06551592 19.60253521 18.2971937 ],26
302,3.0,[   2.          299.50214432 -165.04044666],0.0,non_Speaker,1.0,[ 0.00426842  0.07418456 -0.08727786],[ 1.02672351 11.13765222 15.67858861],26
304,3.0,[   2.          521.39044078 -172.02784231],0.0,non_Speaker,1.0,[ 0.00425575  0.07419332 -0.08727656],[ 1.02671719 11.13444645 15.67610221],26
315,5.0,[   2.          864.33832367 -177.26040854],0.0,non_Speaker,1.0,[ 0.00990738  0.09756375 -0.09277407],[ 1.05829593 10.69603098  5.59802028],26
323,2.0,[  3.         303.36063409  -8.97330206],0.0,Speaker,1.0,[-0.29722435 -0.0903426  -0.56839667],[1.00033911 1.12476422 1.03130267],26
331,3.0,[  2.         248.93383749  -9.32015091],0.0,non_Speaker,1.0,[ 0.00425678  0.07419177 -0.08727804],[ 1.02671697 11.13454443 15.67547255],26
337,2.0,[  3.         537.56099545  -4.83563045],0.0,Speaker,1.0,[ 0.00461964  0.06956877 -0.0832106 ],[ 1.06550155 19.59853516 18.2928273 ],26
355,5.0,[   2.          367.09052748 -176.35839094],0.0,non_Speaker,1.0,[ 0.28103787  2.76213178 -1.37828863],[1. 1. 1.],26
359,3.0,[  2.         267.49646091 -13.91214051],1.0,non_Speaker,0.0,[ 0.00428415  0.07417973 -0.08729985],[ 1.02670259 11.13076835 15.66088635],26
367,5.0,[   2.          608.75949989 -177.89950168],0.0,non_Speaker,1.0,[ 0.00988578  0.09755755 -0.09276723],[ 1.05831216 10.69918163  5.59927859],26
372,3.0,[  2.          36.46695426 -95.2732256 ],1.0,non_Speaker,0.0,[ 0.004255    0.07419177 -0.08727863],[ 1.02671638 11.1342784  15.67499504],26
376,3.0,[  2.          44.52576375 -95.60847196],1.0,non_Speaker,0.0,[-0.11066874  3.54074473 -1.02685604],[1. 1. 1.],26
8,0.0,[0. 0. 0.],0.0,CB,1.0,[1.11022302e-16 2.22044605e-16 1.38777878e-17],[1.00000000e+00 1.17292999e+04 5.17975654e+03],26
11,5.0,[   2.          580.49104484 -174.03619486],0.0,non_Speaker,1.0,[ 0.00989026  0.09756655 -0.09276878],[ 1.05829891 10.69619558  5.59831182],26
17,5.0,[   2.          579.60139825 -173.92760513],1.0,non_Speaker,0.0,[ 0.00988231  0.09755063 -0.09276054],[ 1.05832729 10.70220529  5.600444  ],26
24,5.0,[   2.           43.11935611 -106.64239443],1.0,non_Speaker,0.0,[ 0.00988894  0.09756255 -0.0927713 ],[ 1.05830185 10.69708669  5.59848985],26
39,3.0,[  2.         828.24079233  -3.55213966],0.0,non_Speaker,1.0,[ 0.00424762  0.07416815 -0.0873746 ],[ 1.0266678  11.09792264 15.70549364],26
45,4.0,[   2.          288.46815263 -171.56518694],0.0,non_Speaker,1.0,[ 0.22857306  2.59101641 -2.29551417],[1. 1. 1.],26
53,2.0,[   3.          236.72578188 -162.97386632],0.0,Speaker,1.0,[ 0.0046355   0.06954235 -0.08324285],[ 1.06541452 19.55603386 18.23717254],26
58,3.0,[  2.          65.07121841 -42.92536875],1.0,non_Speaker,0.0,[ 0.00449907  0.07415156 -0.08740186],[ 1.02663998 11.08966311 15.68152261],26
67,2.0,[   3.          523.79411362 -171.73319618],0.0,Speaker,1.0,[ 0.45581583  2.60246868 -1.22349966],[1. 1. 1.],26
111,5.0,[  2.          33.41583028 -23.48486828],0.0,non_Speaker,1.0,[ 0.00990046  0.09757636 -0.09278937],[ 1.05826858 10.69109949  5.60031648],26
115,3.0,[   2.          306.52415636 -178.07144996],0.0,non_Speaker,1.0,[ 0.00425664  0.07436227 -0.08703467],[ 1.02672569 11.19269089 15.65126572],26
126,5.0,[  2.         287.07848579   3.13250803],0.0,non_Speaker,1.0,[ 0.00988669  0.09755464 -0.0927741 ],[ 1.06736472 13.22720994  6.85191043],26
139,3.0,[   2.          304.52260916 -178.05911362],0.0,non_Speaker,1.0,[ 0.00425959  0.07435395 -0.08703798],[ 1.02672985 11.19515729 15.65199977],26
145,3.0,[   2.          344.73683452 -177.28732334],0.0,non_Speaker,1.0,[ 0.00424707  0.07435188 -0.08703893],[ 1.02596952 10.83310953 15.09683041],26
159,2.0,[   3.           33.12490009 -113.76985359],0.0,Speaker,1.0,[0.3601196  3.39781875 0.41279543],[1. 1. 1.],26
164,2.0,[   3.          218.46102724 -166.41430452],0.0,Speaker,1.0,[ 0.00460024  0.0698219  -0.08173254],[ 1.06630031 20.01869078 18.18569982],26
168,4.0,[   2.          562.22333776 -176.80700559],0.0,non_Speaker,1.0,[ 0.36863014  1.76963779 -2.45183305],[1. 1. 1.],26
189,5.0,[   2.          360.9804112  -176.61477483],1.0,non_Speaker,0.0,[ 0.00988784  0.09755413 -0.09277452],[ 1.0673649  13.22729668  6.8519199 ],26
199,5.0,[  2.          51.99051467 -99.24267927],1.0,non_Speaker,0.0,[ 0.00987674  0.09754826 -0.09278454],[ 1.06736435 13.22789615  6.85174761],26
222,3.0,[  2.         319.60878351  -6.34406765],0.0,non_Speaker,1.0,[ 0.0042597   0.0743599  -0.08703678],[ 1.02596373 10.83010587 15.09489194],26
230,5.0,[   2.          686.5201876  -178.72165898],0.0,non_Speaker,1.0,[ 0.00988436  0.09755569 -0.09277562],[ 1.06736301 13.22747641  6.85493698],26
257,5.0,[   2.          872.47648685 -177.08873316],0.0,non_Speaker,1.0,[ 0.00989015  0.09755354 -0.09277894],[ 1.067362   13.22753593  6.85480612],26
265,3.0,[   2.           57.29164811 -114.05424982],1.0,non_Speaker,0.0,[ 0.00425817  0.07435661 -0.08704799],[ 1.02581484 10.78632709 14.85147965],26
276,3.0,[  2.          15.3891093  -68.46628905],1.0,non_Speaker,0.0,[ 0.00425528  0.07435131 -0.08704512],[ 1.02582445 10.79100777 14.86101838],26
281,2.0,[  3.         534.62251416  -6.0462688 ],0.0,Speaker,1.0,[ 0.03967114  2.38484679 -2.12425954],[1. 1. 1.],26
286,2.0,[  3.         881.45432755  -7.12398243],0.0,Speaker,1.0,[ 1.10510879  3.08767325 -0.66046229],[1. 1. 1.],26
301,5.0,[   2.          362.27628623 -174.08782689],0.0,non_Speaker,1.0,[ 0.00988673  0.0975501  -0.09278271],[ 1.06736362 13.22821457  6.85489393],26
311,4.0,[   2.          238.69743549 -173.91263584],1.0,non_Speaker,0.0,[ 0.00120923  0.03411952 -0.05860912],[ 1.01230711 46.89305229 22.20163931],26
317,5.0,[   2.          647.93683215 -175.98983175],0.0,non_Speaker,1.0,[ 0.00988144  0.09754756 -0.09278641],[ 1.06736414 13.22860397  6.85489031],26
322,2.0,[  3.         303.36063409  -8.97330206],0.0,Speaker,1.0,[-0.0410991   1.16073378  0.32679176],[   2.16082946  142.36272385 1672.45940889],26
363,2.0,[  3.         538.15241353  -6.54242018],0.0,Speaker,1.0,[ 0.00457295  0.06995712 -0.08065637],[ 1.06599584 20.03459246 17.83576801],26
369,3.0,[  2.          52.40586909 -78.27627307],1.0,non_Speaker,0.0,[ 0.00429165  0.07317101 -0.08954438],[ 1.02582745 10.47754105 15.12017862],26
375,3.0,[  2.          41.54115953 -96.01285881],1.0,non_Speaker,0.0,[ 0.0042885   0.07318764 -0.08958821],[ 1.02580696 10.48368503 15.14049228],26
11,0.0,[0. 0. 0.],0.0,CB,1.0,[-5.55111512e-17  6.93889390e-18  0.00000000e+00],[1.00000000e+00 1.09443231e+04 4.52087974e+03],26
32,5.0,[  2.         286.8492429  -11.93381721],0.0,non_Speaker,1.0,[ 0.00988716  0.09755286 -0.09277995],[ 1.06736231 13.22767244  6.8548198 ],26
51,5.0,[  2.         273.35049864  -8.05729145],1.0,non_Speaker,0.0,[ 0.00988605  0.09755354 -0.09278017],[ 1.06736115 13.22739912  6.85472014],26
63,2.0,[   3.          236.72609256 -162.97453561],0.0,Speaker,1.0,[-0.42362514  3.25251978 -0.64576606],[1. 1. 1.],26
67,3.0,[  2.          33.84110896 -28.82581378],1.0,non_Speaker,0.0,[ 0.90391813  3.04855682 -2.03454294],[1. 1. 1.],26
72,5.0,[   2.          264.98308435 -176.03650593],0.0,non_Speaker,1.0,[ 0.00987374  0.0975322  -0.09280359],[ 1.06737009 13.23139965  6.85516735],26
88,5.0,[  2.          52.49103055 -55.61039531],1.0,non_Speaker,0.0,[ 0.24282935  3.51664416 -0.74006008],[1. 1. 1.],26
94,5.0,[  2.          56.3749543  -57.06802946],0.0,non_Speaker,1.0,[ 0.00987153  0.09761454 -0.09287762],[ 1.06723272 13.23586736  6.89260567],26
111,2.0,[   3.          256.17466665 -167.75901142],1.0,Speaker,0.0,[ 0.88345309 -0.53248394 -1.43795861],[1.00001285 1.00720767 1.00143555],26
114,3.0,[   2.          306.52415636 -178.07144996],0.0,non_Speaker,1.0,[ 0.0049028   0.08128775 -0.08982215],[ 1.02814104  9.93361968 12.97823939],26
120,2.0,[  3.          38.14105577 -64.11749974],1.0,Speaker,0.0,[ 0.00446996  0.06958324 -0.08089332],[ 1.06575315 19.84340343 17.66786372],26
129,2.0,[  3.          34.16256729 -66.44642042],1.0,Speaker,0.0,[ 0.85694534  3.38552306 -1.15896985],[1. 1. 1.],26
137,3.0,[   2.          304.52529666 -178.05878641],0.0,non_Speaker,1.0,[ 0.00490322  0.08128599 -0.08982672],[ 1.02813792  9.93281251 12.97582999],26
154,5.0,[  2.         529.69073711   0.72312722],0.0,non_Speaker,1.0,[-1.55662651  3.14398958 -0.36240088],[1. 1. 1.],26
169,4.0,[   2.          366.52524241 -178.23086027],0.0,non_Speaker,1.0,[ 0.0011663   0.0342109  -0.05710152],[ 1.01240385 43.62228877 22.31973448],26
177,2.0,[   3.           43.86219097 -119.12790502],0.0,Speaker,1.0,[ 0.38222426  3.26217945 -1.14527708],[1. 1. 1.],26
183,2.0,[  3.         299.53251872 -14.76058134],0.0,Speaker,1.0,[-1.08990277  0.11231547 -0.28669788],[1.00016223 1.05650716 1.01666973],26
200,2.0,[  3.         826.89052362  -3.14157921],0.0,Speaker,1.0,[-0.85393267  0.13661464 -1.14370583],[1. 1. 1.],26
211,2.0,[  3.         844.1575753   -1.98994476],0.0,Speaker,1.0,[ 0.00463734  0.06907042 -0.08272323],[ 1.06577312 19.51546125 18.07403381],26
216,3.0,[   2.           55.29283086 -100.79107531],1.0,non_Speaker,0.0,[ 0.00490358  0.08128614 -0.0898146 ],[ 1.02814384  9.9321437  12.96903814],26
230,2.0,[  3.         514.11762361  -5.61635836],1.0,Speaker,0.0,[-0.96907251  2.93068421 -0.54655672],[1. 1. 1.],26
237,2.0,[  3.          72.29354099 -70.90662478],1.0,Speaker,0.0,[ 0.00461891  0.06907669 -0.0827088 ],[ 1.06579931 19.52111653 18.08450096],26
246,5.0,[   2.          862.72083937 -178.31845937],0.0,non_Speaker,1.0,[ 0.00987217  0.09761505 -0.0928757 ],[ 1.06727732 13.27046649  6.92803225],26
250,3.0,[  2.          64.89381872 -82.34210266],0.0,non_Speaker,1.0,[ 0.00490299  0.08128644 -0.08981961],[ 1.02814118  9.93265826 12.97280543],26
259,3.0,[  2.          62.46417973 -93.99372746],1.0,non_Speaker,0.0,[ 0.00490351  0.08128704 -0.08981925],[ 1.02814773  9.93967119 12.98428956],26
265,3.0,[  2.           8.47811992 -78.79242445],1.0,non_Speaker,0.0,[ 0.00491699  0.08090985 -0.08984785],[ 1.02824327  9.8182955  12.99474939],26
273,3.0,[  2.          16.32145425 -69.74847673],1.0,non_Speaker,0.0,[ 0.00492212  0.07978088 -0.09167749],[ 1.0282255   9.66973365 13.45427493],26
281,5.0,[   2.          366.46774933 -178.5433454 ],1.0,non_Speaker,0.0,[ 0.0098716   0.09761539 -0.09287646],[ 1.06727602 13.27020185  6.92790827],26
291,5.0,[   2.           60.84761668 -114.62032928],0.0,non_Speaker,1.0,[ 0.00987041  0.09761371 -0.09287865],[ 1.06727636 13.27045259  6.9279065 ],26
301,5.0,[   2.          638.03261596 -175.83714157],0.0,non_Speaker,1.0,[1.07991585 0.02931724 1.56759293],[1.14117217e+00 2.65011103e+03 3.19747457e+00],26
305,2.0,[  3.          58.66507256 -44.77113097],1.0,Speaker,0.0,[ 0.00460807  0.06912635 -0.08272893],[ 1.06567381 19.5122205  18.08007678],26
312,4.0,[   2.          263.08484535 -166.07426544],1.0,non_Speaker,0.0,[ 0.00119156  0.03421784 -0.05710123],[ 1.01239579 43.55622101 22.31162503],26
319,2.0,[  3.         261.92329371 -14.43948637],0.0,Speaker,1.0,[ 0.00453332  0.06863278 -0.08157427],[ 1.06694303 20.23293815 18.32087351],26
322,5.0,[   2.          602.96837599 -177.40348026],0.0,non_Speaker,1.0,[ 0.0098711   0.09761596 -0.09287618],[ 1.06727563 13.27017164  6.92830657],26
341,3.0,[  2.         249.61285203 -10.22622227],0.0,non_Speaker,1.0,[ 0.00492911  0.0790689  -0.093192  ],[ 1.02819876  9.52489155 13.74850557],26
355,5.0,[   2.          367.09052748 -176.35839094],0.0,non_Speaker,1.0,[ 0.00987174  0.097629   -0.09287746],[ 1.06725375 13.26487537  6.92638656],26
358,2.0,[  3.         545.01742332  -8.04933249],0.0,Speaker,1.0,[ 0.00440697  0.06877069 -0.08120144],[ 1.06709554 20.30334892 18.21356279],26
